,grande_area,area,codigo
367,Engenharias,Ferrovias; Projetos e Construção,3.01.05.02-1
368,Engenharias,Portos e Vias Nevegáveis; Projeto e Construção,3.01.05.03-0
369,Engenharias,Rodovias; Projeto e Construção,3.01.05.04-8
370,Engenharias,Engenharia de Minas,3.02.00.00-8
371,Engenharias,Pesquisa Mineral,3.02.01.00-4
372,Engenharias,Caracterização do Minério,3.02.01.01-2
373,Engenharias,Dimensionamento de Jazidas,3.02.01.02-0
374,Engenharias,Lavra,3.02.02.00-0
375,Engenharias,Lavra a Céu Aberto,3.02.02.01-9
376,Engenharias,Lavra de Mina Subterrânea,3.02.02.02-7
377,Engenharias,Equipamentos de Lavra,3.02.02.03-5
378,Engenharias,Tratamento de Minérios,3.03.02.05-6
379,Engenharias,Métodos de Concentração e Enriquecimento de Minérios,3.02.03.01-5
380,Engenharias,Equipamentos de Beneficiamento de Minérios,3.02.03.02-3
381,Engenharias,Engenharia de Materiais e Metalúrgica,3.03.00.00-2
382,Engenharias,Instalações e Equipamentos Metalúrgicos,3.03.01.00-9
383,Engenharias,Instalações Metalúrgicas,3.03.01.01-7
384,Engenharias,Equipamentos Metalúrgicos,3.03.01.02-5
385,Engenharias,Metalurgia Extrativa,3.03.02.00-5
386,Engenharias,Aglomeração,3.03.02.01-3
387,Engenharias,Eletrometalurgia,3.03.02.02-1
388,Engenharias,Hidrometalurgia,3.03.02.03-0
389,Engenharias,Pirometalurgia,3.03.02.04-8
390,Engenharias,Metalurgia de Transformação,3.03.03.00-1
